system:index,DSM,cell_id,.geo
0000000000000000003c,4.606392929109047,339.0,"{""type"":""Polygon"",""coordinates"":[[[-43.3286593892761,-22.805028765285897],[-43.32379089101373,-22.804977680399503],[-43.32384608103678,-22.800464002934575],[-43.328714426568325,-22.800515163759815],[-43.3286593892761,-22.805028765285897]]]}"
0000000000000000003d,4.7728667817354475,344.0,"{""type"":""Polygon"",""coordinates"":[[[-43.32379089101373,-22.804977680399503],[-43.31892236071837,-22.804926377085597],[-43.318977777192174,-22.800412744368995],[-43.32384608103678,-22.800464002934575],[-43.32379089101373,-22.804977680399503]]]}"
0000000000000000003e,4.299824231010667,350.0,"{""type"":""Polygon"",""coordinates"":[[[-43.31410944151589,-22.800361340182693],[-43.318977777192174,-22.800412744368995],[-43.31892236071837,-22.804926377085597],[-43.31405394594778,-22.804874951154734],[-43.31410944151589,-22.800361340182693]]]}"
0000000000000000003f,5.629689557855131,355.0,"{""type"":""Polygon"",""coordinates"":[[[-43.31410944151589,-22.800361340182693],[-43.31405394594778,-22.804874951154734],[-43.30918063486135,-22.80482334505781],[-43.30923628324911,-22.80030980356092],[-43.31410944151589,-22.800361340182693]]]}"
00000000000000000040,4.746919817982106,361.0,"{""type"":""Polygon"",""coordinates"":[[[-43.30923628324911,-22.80030980356092],[-43.30918063486135,-22.80482334505781],[-43.30431215640433,-22.804771627585826],[-43.304368031347835,-22.800258058320725],[-43.30923628324911,-22.80030980356092]]]}"
00000000000000000041,2.183539337480617,366.0,"{""type"":""Polygon"",""coordinates"":[[[-43.304368031347835,-22.800258058320725],[-43.30431215640433,-22.804771627585826],[-43.2994437203004,-22.804719812390235],[-43.29949974812098,-22.800206167501074],[-43.304368031347835,-22.800258058320725]]]}"
00000000000000000042,4.148030754746586,100.0,"{""type"":""Polygon"",""coordinates"":[[[-43.26048228444085,-22.804299344067488],[-43.25561401478569,-22.804246142025008],[-43.25567149355118,-22.799732666960228],[-43.26053961007228,-22.799785871278175],[-43.26048228444085,-22.804299344067488]]]}"
00000000000000000043,4.118243052373212,105.0,"{""type"":""Polygon"",""coordinates"":[[[-43.25561401478569,-22.804246142025008],[-43.25074571545533,-22.804192794492028],[-43.250803347382636,-22.79967931721539],[-43.25567149355118,-22.799732666960228],[-43.25561401478569,-22.804246142025008]]]}"
00000000000000000044,5.033615819209039,112.0,"{""type"":""Polygon"",""coordinates"":[[[-43.245935245525544,-22.799625870046018],[-43.250803347382636,-22.79967931721539],[-43.25074571545533,-22.804192794492028],[-43.24587746040873,-22.804139276679464],[-43.245935245525544,-22.799625870046018]]]}"
00000000000000000045,7.141878037309922,120.0,"{""type"":""Polygon"",""coordinates"":[[[-43.245935245525544,-22.799625870046018],[-43.24587746040873,-22.804139276679464],[-43.24100437857512,-22.804085551110266],[-43.241062316914736,-22.799572142159978],[-43.245935245525544,-22.799625870046018]]]}"
00000000000000000046,6.616461918004272,129.0,"{""type"":""Polygon"",""coordinates"":[[[-43.241062316914736,-22.799572142159978],[-43.24100437857512,-22.804085551110266],[-43.23613613835204,-22.804031790168622],[-43.23619422993659,-22.799518379208692],[-43.241062316914736,-22.799572142159978]]]}"
